"Id","Drug","Genotype","Sex","Experiment","Trial","Outcome"
107,"Saline","KI","M",3,4,60
101,"SKF","KI","M",1,1,60
101,"SKF","KI","M",1,2,60
101,"SKF","KI","M",1,3,60
101,"SKF","KI","M",1,4,60
102,"SKF","KI","M",1,1,2.5
102,"SKF","KI","M",1,2,7.1
102,"SKF","KI","M",1,3,16.1
102,"SKF","KI","M",1,4,15.8
103,"SKF","KI","M",1,1,4.2
103,"SKF","KI","M",1,2,60
103,"SKF","KI","M",1,3,51.6
103,"SKF","KI","M",1,4,60
104,"SKF","KI","M",1,1,60
104,"SKF","KI","M",1,2,44.7
104,"SKF","KI","M",1,3,60
104,"SKF","KI","M",1,4,60
105,"SKF","KI","M",1,1,3.9
105,"SKF","KI","M",1,2,29.7
105,"SKF","KI","M",1,3,6.6
105,"SKF","KI","M",1,4,3.2
106,"SKF","KI","M",1,1,1.9
106,"SKF","KI","M",1,2,60
106,"SKF","KI","M",1,3,39.6
106,"SKF","KI","M",1,4,4.2
107,"SKF","KI","M",1,1,5.1
107,"SKF","KI","M",1,2,60
107,"SKF","KI","M",1,3,19
107,"SKF","KI","M",1,4,12.4
101,"SKF","KI","M",2,1,60
101,"SKF","KI","M",2,2,60
101,"SKF","KI","M",2,3,60
101,"SKF","KI","M",2,4,60
102,"SKF","KI","M",2,1,15.7
102,"SKF","KI","M",2,2,11.5
102,"SKF","KI","M",2,3,2.3
102,"SKF","KI","M",2,4,1.5
103,"SKF","KI","M",2,1,9.9
103,"SKF","KI","M",2,2,6.5
103,"SKF","KI","M",2,3,60
103,"SKF","KI","M",2,4,60
104,"SKF","KI","M",2,1,60
104,"SKF","KI","M",2,2,4
104,"SKF","KI","M",2,3,11.9
104,"SKF","KI","M",2,4,5.2
105,"SKF","KI","M",2,1,50.6
105,"SKF","KI","M",2,2,6.7
105,"SKF","KI","M",2,3,11.8
105,"SKF","KI","M",2,4,24
106,"SKF","KI","M",2,1,24.8
106,"SKF","KI","M",2,2,27.3
106,"SKF","KI","M",2,3,18.8
106,"SKF","KI","M",2,4,60
107,"SKF","KI","M",2,1,34.3
107,"SKF","KI","M",2,2,17.8
107,"SKF","KI","M",2,3,59.9
107,"SKF","KI","M",2,4,60
101,"SKF","KI","M",3,1,60
101,"SKF","KI","M",3,2,60
101,"SKF","KI","M",3,3,57.9
101,"SKF","KI","M",3,4,60
102,"SKF","KI","M",3,1,60
102,"SKF","KI","M",3,2,23.8
102,"SKF","KI","M",3,3,60
102,"SKF","KI","M",3,4,52.6
103,"SKF","KI","M",3,1,60
103,"SKF","KI","M",3,2,10.9
103,"SKF","KI","M",3,3,60
103,"SKF","KI","M",3,4,50.9
104,"SKF","KI","M",3,1,60
104,"SKF","KI","M",3,2,60
104,"SKF","KI","M",3,3,60
104,"SKF","KI","M",3,4,60
105,"SKF","KI","M",3,1,23.1
105,"SKF","KI","M",3,2,24.7
105,"SKF","KI","M",3,3,15.2
105,"SKF","KI","M",3,4,16
106,"SKF","KI","M",3,1,16.3
106,"SKF","KI","M",3,2,23.8
106,"SKF","KI","M",3,3,47.6
106,"SKF","KI","M",3,4,60
107,"SKF","KI","M",3,1,60
107,"SKF","KI","M",3,2,16.3
107,"SKF","KI","M",3,3,60
107,"SKF","KI","M",3,4,24.6
108,"Saline","KI","F",1,1,16.3
108,"Saline","KI","F",1,2,60
108,"Saline","KI","F",1,3,60
108,"Saline","KI","F",1,4,34.4
109,"Saline","KI","F",1,1,16.3
109,"Saline","KI","F",1,2,60
109,"Saline","KI","F",1,3,15.9
109,"Saline","KI","F",1,4,35.8
110,"Saline","KI","F",1,1,60
110,"Saline","KI","F",1,2,60
110,"Saline","KI","F",1,3,60
110,"Saline","KI","F",1,4,60
111,"Saline","KI","F",1,1,29.5
111,"Saline","KI","F",1,2,8.9
111,"Saline","KI","F",1,3,7.4
111,"Saline","KI","F",1,4,4.6
112,"Saline","KI","F",1,1,13.6
112,"Saline","KI","F",1,2,21.2
112,"Saline","KI","F",1,3,8.6
112,"Saline","KI","F",1,4,60
